title,company,location,summary,salary
Site Reliability Engineer,Cisco Meraki,,"Example projects of a Meraki Site Reliability Engineer:. Meraki's customer base has grown by a factor of 2-3 every year, serving more than 1.5 billion HTTP...",
Electronics Engineer; Industrial IoT,The Collective Intelligence Group,,Integrating data with our current system and designing data visualisation and reporting templates....,"$8,000 - $10,000 a month"
Mastercard Graduate Development Program - Associate Engineer...,MasterCard,," Data Analysis. Mastercard Graduate Development Program - Associate Engineer, Operations & Technology (Business Operations)....",
2020 Graduate Security Engineer,Atlassian,,"Deep understanding of data structures, in particular how they are implemented and how to apply them to solve problems....",
Quality Engineer,Blackwoods,,"Facilitate Supplier on-boarding for supplier’s including initiating requests, reviewing of corrective actions and compliance data....",
Software Development Engineer,AWS Australia Pty Ltd,,"Strong CS fundamentals in data structures, algorithms, OO design and a solid understanding of distributed systems....",
Field Service Commissioning Engineer,Addelec Power Services,Smeaton Grange NSW,"Addelec Power Services are a specialised company that provides a suite of services to public/private utilities (power & water), mining, data centres,...",$45 - $60 an hour
Security Automation Engineer,THE ICONIC,Sydney NSW,"Engineer, implement, and monitor security systems. We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also...",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Data Engineering Consultant,Servian,Sydney NSW,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. We are looking for outstanding Data Engineers to join our...",
Data Engineer,Infopeople,,"Enterprise integration via an Operational Data Hub. 3 years of MarkLogic Data modelling in NoSQL paradigm. Working knowledge on Data Governance, MarkLogic best...",
"Network Engineer, Amazon Web Services - Sydney, Australia",Amazon Corporate Services Pty,,"Our Network Scaling and Deployment engineers build and grow the Amazon network worldwide. Our engineers are expected to self-manage several projects at a time,...",
Senior Software Engineer (Big Data),Rokt,,Strong background working on large scale Data Warehousing and Data processing solutions. Rokt is looking for a Senior Software Engineer to join a small team of...,"$100,000 - $140,000 a year"
Senior Data Scientist,AWS Australia Pty Ltd,,"We have thousands of engineers at Amazon committed to machine learning and deep learning, and it’s a big part of our heritage....",
Site Reliability Engineer,Cisco Meraki,,"Example projects of a Meraki Site Reliability Engineer:. Meraki's customer base has grown by a factor of 2-3 every year, serving more than 1.5 billion HTTP...",
Product Support Engineer,OSIsoft,,"We are time series data; As a Product Support Engineer, you will:. We deliver an open enterprise infrastructure, the PI System™, to connect sensor-based data,...",
2020 Graduate Security Engineer,Atlassian,,"Deep understanding of data structures, in particular how they are implemented and how to apply them to solve problems....",
DevOps Engineer – 4 Month Contract,Mobiddiction,,"DEV OPS ENGINEER *. You will be mainly working on all AWS environments, monitoring, data collection and configuration management, as well as disaster recovery...","$80,000 - $100,000 a year"
Incident Management Support Engineer,AWS Australia Pty Ltd,,"Using data learned from those incidents you will drive further improvements into our automation, tooling, and processes so that the next event is shorter or...",
Software Engineer,Lendi,,"Strong CS fundamentals in object-oriented design, data structures, algorithm design and complexity analysis. About the business:....",
Voice & Data Network Engineer,Mobilizer Pty Ltd,Sydney NSW,Voice and data:. You must have extensive experience as a VOIP and Networking Engineer. Ability to Trouble Shoot Cisco Data Network Cisco Certified Experience....,
Data Engineering Consultant,Servian,Sydney NSW,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. We are looking for outstanding Data Engineers to join our...",
Field Service Commissioning Engineer,Addelec Power Services,Smeaton Grange NSW,"Addelec Power Services are a specialised company that provides a suite of services to public/private utilities (power & water), mining, data centres,...",$45 - $60 an hour
Full Stack Software Engineer,THE ICONIC,Sydney NSW,We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also world class!)....,
Security Automation Engineer,THE ICONIC,Sydney NSW,"Engineer, implement, and monitor security systems. We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also...",
Security Automation Engineer,THE ICONIC,Sydney NSW,"Engineer, implement, and monitor security systems. We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also...",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Senior RF and Digital hardware engineer,RF Technology Pty Ltd,Pennant Hills NSW,Senior hardware engineer required for leading RF company. Senior RF and Digital hardware engineer working with leading edge team....,
Voice & Data Network Engineer,Mobilizer Pty Ltd,Sydney NSW,Voice and data:. You must have extensive experience as a VOIP and Networking Engineer. Ability to Trouble Shoot Cisco Data Network Cisco Certified Experience....,
Data Engineering Consultant,Servian,Sydney NSW,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. We are looking for outstanding Data Engineers to join our...",
Field Service Commissioning Engineer,Addelec Power Services,Smeaton Grange NSW,"Addelec Power Services are a specialised company that provides a suite of services to public/private utilities (power & water), mining, data centres,...",$45 - $60 an hour
DevOps Engineer – 4 Month Contract,Mobiddiction,,"DEV OPS ENGINEER *. You will be mainly working on all AWS environments, monitoring, data collection and configuration management, as well as disaster recovery...","$80,000 - $100,000 a year"
