title,company,location,summary,salary
Senior Hospital Scientist,NSW Health Pathology,,Customer focused approach displaying well-developed interpersonal skills and good oral and written communication skills including the ability to communicate...,"$97,719 - $129,279 a year"
"Consumer Research & Data Analyst, Sydney",Mintel Group,,Research and data consultancy:. Do you enjoy working with data? High attention to detail with a focus on ensuring quality data....,
Senior Applied Scientist,AWS Australia Pty Ltd,,"Data pipelines, etc.). Answer complex business questions by using appropriate statistical techniques on available data or designing and running experiments to...",
Data Integration Developer (ETL) - $700 p/d,Total Resource Solutions,,Data Integration Developer (ETL) - $700 p/d. TRS are currently seeking a Data Scientist to join a NSW Government department on a contract basis in Sydney CBD....,$700 a week
Data Analyst/Scientist,AustCorp Executive,,A Data Analyst or Junior Data Scientist that will be helping clients across various industries. AustCorp Executive are searching for a Data Analyst or Junior...,
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist & Reporting Manager (Marketing),Deloitte,,Have strong demonstrated advanced analytical and data interpretation skills.Have the ability to prepare and analyse a wide range of data and reporting outputs...,
Data Scientist,Robert Walters,,"As a Data Scientist, you will be responsible for integrating disparate sources of data and analytics and transform available information streams into a linked...",
Instructor - Part Time Data Science,General Assembly,,"Data visualization techniques; In this 10-week, students learn the basis of Data Science with Python, and explore the power of applying data science algorithms...",
Environmental Scientist,Golder Associates,,Interpretation and reporting of analytical data. Golder has a new opportunity for an Environmental Scientist to join our Contaminated Sites team on a full-time...,
Data Analyst/Scientist,AustCorp Executive,,A Data Analyst or Junior Data Scientist that will be helping clients across various industries. AustCorp Executive are searching for a Data Analyst or Junior...,
"Statistician Data Scientist, Analytics, Machine Learning - D...",Infinity Pro,,Commercial Experience as a Data Scientist / Insight Analytics Consultant; You will come from a strong data analytics / data science background with technical...,
Statistician / Epidemlologist,University of New South Wales,,"Demonstrated ability to undertake complex data collection and analysis projects. High level experience in data analysis, including experience using STATA or a...","$93,000 - $101,000 a year"
