title,company,location,summary,salary
Scientific Programmer - Coastal Hazards,CSIRO,,Development of documentation for software tools and data products. You will be primarily focused on the development of data analysis tools and the curation of...,"$82,000 - $93,000 a year"
Junior Data Scientist,MCS Consulting,,"Data Streaming, Big Data, Cyber Security Technologies. Looking to create innovative and high quality software to analyse data from a variety of Big Data sources...",
Geoscience Data Officer,CSIRO,,"This role (through close collaboration with project leaders, managers and scientists across the Program) identifies data management needs, determines the form...","$82,000 - $93,000 a year"
Environmental Scientist (Entry level),ERM Group,,"Management and analysis of technical data; Fieldwork experience involving data collection (soil, water, air, etc.);...",
Senior Data Scientist,NRMA Motoring & Services,,"Develop and strengthen a team of data science professionals covering a range of disciplines including machine learning, data engineering, data modelling,...",
Lead Data Scientist,BCG Digital Ventures,,"As a Lead Data Scientist, you will:. As a Lead Data Scientist, you will need:. Work closely with cross-functional teams of data scientists, product managers,...",
Data Scientist,Michael Page,,The Data Scientist Role is a multifaceted one and supports a number of internal and external stakeholders....,"$100,000 - $120,000 a year"
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Data Engineer,Deakin University,Geelong VIC,"Your responsibilities include developing, implementing and supporting real-time data analytic capabilities, through sourcing new data onto the platform,...",
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Laboratory Assistants (Greenslopes Private Hospital),Sullivan Nicolaides - Parent Entity,,Specimen reception and data entry; The high level of service provided by Sullivan Nicolaides Pathology is delivered by a dedicated staff comprising of...,$20.84 - $25.75 an hour
Lead Data Scientist,BCG Digital Ventures,,"As a Lead Data Scientist, you will:. As a Lead Data Scientist, you will need:. Work closely with cross-functional teams of data scientists, product managers,...",
Environmental Scientist - Boutique Environmental Consultancy,Ascension Global,,*About your new Company: * This national environmental consultancy continues to grow and win new major projects. As such they wish to build on their existing...,"$70,000 - $110,000 a year"
"Research Scientist, Computer Vision",CSIRO,,"Join CSIRO’s Data 61, the largest data innovation group in Australia. The successful candidate will join the high-performing Imaging and Computer vision Group...","$97,000 - $105,000 a year"
Geoscience Data Officer,CSIRO,,"This role (through close collaboration with project leaders, managers and scientists across the Program) identifies data management needs, determines the form...","$82,000 - $93,000 a year"
Technical Assistant - Microbiology,NSW Health Pathology,,"Excellent data entry skills including high attention to detail and data accuracy. Scientists, technicians and support staff who quickly and accurately assess...",$26.39 - $27.46 an hour
Senior Data Scientist,NRMA Motoring & Services,,"Develop and strengthen a team of data science professionals covering a range of disciplines including machine learning, data engineering, data modelling,...",
Data Analyst,ANZ Banking Group,,"The role will be based within one of the EDB squads, made up of a mix of Journey Experts, Data Scientists and Data Analysts....",
Data Scientist / Machine Learning (blockchain),Crypto Recruit,,Work with other Data Experts and Engineers to develop our in-house data science library and pipeline. Data mining and modelling experience using mainstream...,"$100,000 - $150,000 a year"
Environmental Scientist - Contamination Assessment & Remedia...,AECOM,,"+ Involvement in all stages of contaminated land projects, including site history investigations, analysing data gaps, sampling & analysis planning, field...",
"Consultant, Data Scientist",NAB - National Australia Bank,Melbourne VIC,"Reporting to the Manager, Delivery Analytics Experiments, the Data Scientist will collaborate with line of business stakeholders, leveraging NAB’s technology...",
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Laboratory Assistants (Greenslopes Private Hospital),Sullivan Nicolaides - Parent Entity,,Specimen reception and data entry; The high level of service provided by Sullivan Nicolaides Pathology is delivered by a dedicated staff comprising of...,$20.84 - $25.75 an hour
Senior Research Scientist (SciC),Victorian Government,,"SENIOR RESEARCH SCIENTIST. For a confidential discussion, please call Garry Rosewarne, Senior Research Scientist, on 0477 616 759....","$96,942 - $117,293 a year"
Data Scientist,Charterhouse,,The above data skills experience in either a Data Scientist or Quantitative Analyst role. The Data Scientist will be responsible for sophisticated analyses and...,
Lead Data Scientist,KPMG,,"As a Data Scientist in our team, you will:. As a Data Scientist, you will work with a group of professionals in the form of strategists, statisticians,...",
Research Assistant,Murdoch Childrens Research Institute,,"Maintaining full documentation and filing of all material and data. The position will report to a Senior Postdoctoral Scientist, and directly liaise with...","$71,913 - $84,237 a year"
Data Scientist,Clicks IT Recruitment,,"Our transport government client is seeking a Data Scientist to work across multiple projects. Extract and transform data for use in data analysis, visualisation...",
